Major,Early Career Pay,Mid-Career Pay,Meaningfulness0,Petroleum Engineering,"$93,200","$187,300",67%
Liberal Studies,"$44,300","$72,400",56%
Interior Design,"$45,100","$72,300",50%
Medical Laboratory Science,"$55,600","$72,300",85%
Secondary Education,"$44,600","$72,300",59%
Child Psychology,"$38,900","$72,200",64%
Exercise Physiology,"$44,100","$72,200",76%
Radiography,"$55,300","$72,200",85%
Archaeology,"$45,900","$72,100",46%
Art Administration,"$40,200","$72,100",56%
Hotel & Restaurant Tourism,"$44,300","$72,100",49%
Illustration,"$45,200","$72,100",36%
Arts & Science,"$45,700","$71,900",-
Health,"$44,200","$71,900",73%
Turfgrass Management,"$53,100","$71,900",51%
Animal Science & Management,"$44,200","$71,800",55%
SocialStudies,"$45,800","$71,700",57%
Human Resources Development,"$48,600","$71,600",50%
Speech Pathology & Audiology,"$44,100","$71,600",78%
Clinical Laboratory Science,"$55,100","$71,500",83%
Forensic Science,"$46,000","$71,500",64%
Health Administration,"$42,700","$71,500",66%
Geomatics,"$52,300","$71,400",70%
Media Communication,"$47,000","$71,400",45%
Health Management,"$45,100","$71,300",-
Commercial Photography,"$43,800","$71,300",23%
Fashion Design & Marketing,"$45,300","$71,100",44%
Mass Media,"$40,300","$71,100",49%
Medical Technology,"$56,500","$71,000",81%
Respiratory Therapy,"$54,500","$70,900",82%
Theater,"$44,600","$70,700",50%
Forensic Psychology,"$43,000","$70,600",54%
Kinesiology,"$44,800","$70,600",66%
Performing Arts,"$45,700","$70,500",57%
Psychology & Social Behavior,"$45,800","$70,500",59%
Religion,"$44,400","$70,500",59%
Radio & Television,"$43,100","$70,500",41%
Technology Teacher Education,"$47,700","$70,400",57%
Educational Studies (ED),"$40,300","$70,200",65%
Music,"$44,300","$70,200",55%
Business Leadership,"$50,100","$70,200",45%
Drafting & Design,"$51,000","$70,100",69%
Plant Sciences,"$48,000","$70,100",60%
Criminal Justice,"$42,800","$69,800",56%
Web Design,"$49,900","$69,800",25%
Graphic Design,"$45,100","$69,700",37%
Nutrition,"$48,100","$69,600",65%
Nutrition & Dietetics,"$50,800","$69,600",72%
Missions,"$41,300","$69,500",-
Dramatic Art,"$41,400","$69,400",-
Fashion Marketing & Management,"$47,700","$69,100",30%
Interdisciplinary Studies (IS),"$44,600","$68,900",56%
Hospitality & Tourism,"$44,200","$68,800",41%
Human Ecology,"$42,100","$68,800",54%
Ornamental Horticulture,"$46,000","$68,800",69%
Physical Therapist Assistant Studies,"$49,900","$68,800",85%
Public Health (PH),"$46,000","$68,800",69%
Art Therapy,"$41,100","$68,600",80%
Dietetics,"$51,300","$68,600",74%
Landscape Management,"$52,300","$68,600",-
Applied Sociology,"$42,200","$68,500",57%
Fine Arts,"$43,200","$68,500",44%
Modern Language Spanish,"$43,800","$68,500",52%
Women's Studies,"$45,200","$68,500",59%
Social & Criminal Justice,"$44,800","$68,500",59%
Animal Science,"$41,200","$68,300",64%
New Media,"$46,000","$68,300",33%
Textiles & Clothing,"$45,100","$68,300",47%
Event Management,"$41,700","$68,200",40%
Family & Consumer Science,"$42,600","$68,000",59%
Speech-Language Pathology,"$44,100","$67,900",70%
Technical Theatre,"$41,000","$67,600",42%
Education,"$44,100","$67,500",65%
Foods & Nutrition,"$47,000","$67,500",68%
Recreation Management,"$42,300","$67,500",58%
Business & Healthcare Management,"$46,900","$67,300",69%
Agricultural Teacher Education,"$53,500","$67,100",-
Music Composition,"$44,000","$66,900",51%
Art,"$43,400","$66,700",46%
Psychology & Sociology,"$42,800","$66,700",53%
Drawing & Painting,"$42,800","$66,600",48%
Nonprofit Management,"$42,300","$66,300",79%
Small Business Management,"$47,100","$66,200",38%
Behavioral Science,"$43,000","$66,000",62%
Horticulture & Agronomy,"$52,500","$65,900",-
Health Services Administration,"$42,700","$65,800",63%
Multidisciplinary Studies,"$41,800","$65,800",53%
Restaurant & Food Service Management,"$43,900","$65,800",45%
Consumer Affairs,"$51,000","$65,700",43%
Training and Development,"$52,600","$65,600",-
Health & Exercise Science,"$41,700","$65,600",67%
Electronic Media,"$45,300","$65,600",37%
Environmental Resource Management,"$48,700","$65,500",65%
Theatre Arts,"$43,500","$65,300",51%
Applied Linguistics,"$46,800","$65,200",44%
African American & African Studies,"$46,400","$65,100",60%
Exercise & Sports Science,"$42,600","$65,100",70%
General Studies,"$43,600","$65,100",52%
Justice Studies,"$45,300","$65,100",50%
Video Production,"$42,800","$65,100",33%
Graphic Arts,"$42,700","$64,900",41%
Physical Education Teaching,"$42,200","$64,900",69%
Health Services Management,"$41,600","$64,800",83%
Physical Education & Exercise Science,"$44,100","$64,800",72%
Drawing,"$37,400","$64,800",39%
Exercise Science,"$41,400","$64,700",73%
Printmaking,"$38,400","$64,300",40%
Sports Administration,"$43,300","$64,300",47%
Theology,"$42,800","$64,300",68%
Interior Design & Merchandising,"$43,700","$64,200",37%
Recreation & Leisure Studies,"$40,300","$64,200",60%
Human Development,"$43,700","$64,100",64%
Music Industry,"$45,800","$64,100",38%
Wildlife Management,"$39,700","$64,100",49%
Supervision & Management,"$41,700","$64,100",57%
Health & Wellness,"$40,100","$64,000",70%
Culinary Arts & Food Service Management,"$41,300","$64,000",50%
Mortuary Science,"$43,500","$64,000",85%
Clinical Psychology,"$43,000","$63,900",65%
Community Health Education,"$42,600","$63,900",75%
Dance,"$45,100","$63,900",62%
Speech Pathology,"$42,800","$63,700",69%
Gender Studies,"$45,500","$63,600",55%
Secondary English Teacher Education,"$42,000","$63,600",64%
Photography,"$43,800","$63,500",38%
English Teacher Education,"$43,300","$63,100",57%
Paralegal Studies,"$39,600","$63,100",50%
Social Studies Teacher Education,"$43,400","$63,100",65%
Teaching English as a Second Language (ESL),"$42,800","$63,000",73%
Music Teacher Education,"$42,000","$63,000",62%
Health Promotion,"$42,300","$62,800",69%
Recording Arts,"$44,800","$62,800",48%
Photojournalism,"$41,900","$62,600",59%
Recreation Administration,"$47,000","$62,500",71%
Radio Broadcasting,"$46,300","$62,400",33%
Sculpture,"$40,300","$62,200",47%
Painting,"$40,700","$62,000",44%
Psychology & Social Sciences,"$42,600","$62,000",68%
Health & Physical Education Teaching,"$38,700","$61,900",65%
Organizational Administration,"$45,000","$61,800",-
Tourism Management,"$43,100","$61,600",38%
Instrumental Music Teacher Education,"$41,700","$61,600",65%
Emergency Medical Services (EMS),"$44,200","$61,400",-
Community Health,"$45,400","$61,300",72%
Health & Human Performance,"$38,100","$61,100",68%
Music Therapy,"$43,100","$60,700",93%
Social Services,"$39,900","$60,500",82%
Rehabilitation Services,"$35,800","$60,200",79%
Horticulture,"$43,000","$60,100",59%
University Studies,"$42,400","$60,000",49%
Church Ministries,"$40,000","$59,900",79%
Communicative Disorders,"$47,400","$59,800",73%
Social Science Teacher Education,"$45,400","$59,800",-
Wildlife Biology,"$42,900","$59,800",60%
Community Development,"$44,600","$59,400",63%
Psychology & Human Services,"$35,600","$59,400",-
Athletic Training,"$42,100","$59,300",75%
Biblical Studies,"$40,500","$59,000",72%
Biblical Studies & Practical Ministries,"$36,400","$58,900",76%
Counseling Psychology,"$42,700","$58,900",64%
Recreational Studies,"$42,100","$58,900",69%
Teaching,"$42,000","$58,900",72%
Home Economics,"$41,800","$58,700",69%
Library & Information Science,"$48,200","$58,700",48%
Human Development & Family Studies,"$40,300","$58,600",66%
Tourism & Travel,"$42,200","$58,600",43%
Landscape Design,"$49,000","$58,500",63%
Ceramics,"$42,200","$58,300",51%
Clinical Social Work (CSW),"$43,500","$58,300",-
Parks & Recreation Management,"$42,700","$58,300",56%
Pastoral Ministry,"$38,700","$58,000",83%
Vocal Performance,"$42,600","$58,000",65%
Art Teacher Education,"$40,300","$57,500",62%
Bible Studies & Theology,"$40,000","$57,500",67%
Forensic Accounting,"$48,300","$57,200",48%
Communication Sciences & Disorders,"$43,300","$57,100",76%
Legal Assistant Studies,"$38,100","$57,100",38%
Special Education,"$41,300","$57,000",76%
Conservation Biology,"$42,800","$56,900",57%
Family Studies,"$39,200","$56,800",68%
Christian Ministry,"$38,100","$56,400",79%
Speech & Hearing,"$43,300","$56,400",76%
Health and Human Services,"$43,500","$56,300",65%
Musical Theatre,"$43,500","$56,100",50%
History Teacher Education,"$47,700","$55,600",46%
Developmental Psychology,"$38,200","$55,000",-
Therapeutic Recreation,"$39,500","$54,900",82%
Applied Behavioral Science,"$40,500","$54,600",50%
Community & Human Services,"$42,400","$54,600",80%
Social Work (SW),"$38,600","$54,600",76%
Office Administration,"$38,700","$54,500",65%
Ministry,"$36,700","$54,300",81%
Family & Community Services,"$42,200","$54,300",74%
Youth Ministry,"$37,400","$54,200",76%
Elementary Education,"$40,000","$53,800",69%
Voice & Opera,"$34,500","$53,300",57%
Christian Education,"$38,700","$53,200",82%
Conflict Resolution,"$44,400","$53,200",50%
Baking & Pastry Arts,"$37,500","$53,000",44%
Human Services Management,"$45,600","$53,000",-
Hospitality & The Culinary Arts,"$38,800","$52,900",-
Human Services (HS),"$38,700","$52,500",71%
Counseling,"$39,900","$51,700",78%
Recreational Therapy,"$38,400","$51,600",84%
Child Development,"$37,400","$51,400",73%
Educational Psychology,"$36,900","$51,200",-
Middle School Education,"$41,200","$50,800",73%
Mental Health Counseling,"$36,100","$50,000",78%
Early Childhood & Elementary Education,"$38,000","$48,400",77%
Equine Studies,"$35,700","$47,100",50%
Addiction Studies,"$38,000","$47,000",84%
Child & Family Studies,"$36,400","$46,500",73%
Rehabilitation Counseling,"$39,200","$46,400",-
Outdoor Education,"$37,400","$46,300",52%
Early Childhood Education,"$36,100","$45,400",78%
Mental Health,"$36,900","$45,000",-
Medical Assisting,"$36,000","$44,800",-
Metalsmithing,"$40,000","$40,300",33%
